-----------------------------------------
| rollout/                |             |
|    value_loss           | 1.6e+03     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.45e+03    |
|    ep_rew_mean          | -374        |
| time/                   |             |
|    fps                  | 2086        |
|    iterations           | 15          |
|    time_elapsed         | 147         |
|    total_timesteps      | 307200      |
| train/                  |             |
|    approx_kl            | 0.005151754 |
|    clip_fraction        | 0.05        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.21       |
|    explained_variance   | 0.878       |
|    learning_rate        | 0.0003      |
|    loss                 | 143         |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.000528   |
|    std                  | 0.809       |
|    value_loss           | 1.45e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.52e+03     |
|    ep_rew_mean          | -341         |
| time/                   |              |
|    fps                  | 2080         |
|    iterations           | 16           |
|    time_elapsed         | 157          |
|    total_timesteps      | 327680       |
| train/                  |              |
|    approx_kl            | 0.0053186826 |
|    clip_fraction        | 0.0469       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.2         |
|    explained_variance   | 0.857        |
|    learning_rate        | 0.0003       |
|    loss                 | 138          |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.000252    |
|    std                  | 0.804        |
|    value_loss           | 1.98e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.55e+03     |
|    ep_rew_mean          | -322         |
| time/                   |              |
|    fps                  | 2076         |
|    iterations           | 17           |
|    time_elapsed         | 167          |
|    total_timesteps      | 348160       |
| train/                  |              |
|    approx_kl            | 0.0053949677 |
|    clip_fraction        | 0.0638       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.19        |
|    explained_variance   | 0.911        |
|    learning_rate        | 0.0003       |
|    loss                 | 346          |
|    n_updates            | 160          |
|    policy_gradient_loss | 0.000981     |
|    std                  | 0.787        |
|    value_loss           | 1.18e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.57e+03     |
|    ep_rew_mean          | -314         |
| time/                   |              |
|    fps                  | 2072         |
|    iterations           | 18           |
|    time_elapsed         | 177          |
|    total_timesteps      | 368640       |
| train/                  |              |
|    approx_kl            | 0.0060884315 |
|    clip_fraction        | 0.0814       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.16        |
|    explained_variance   | 0.9          |
|    learning_rate        | 0.0003       |
|    loss                 | 2.07e+03     |
|    n_updates            | 170          |
|    policy_gradient_loss | -0.000359    |
|    std                  | 0.768        |
|    value_loss           | 1.39e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.58e+03     |
|    ep_rew_mean          | -309         |
| time/                   |              |
|    fps                  | 2069         |
|    iterations           | 19           |
|    time_elapsed         | 188          |
|    total_timesteps      | 389120       |
| train/                  |              |
|    approx_kl            | 0.0034829075 |
|    clip_fraction        | 0.0614       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.14        |
|    explained_variance   | 0.942        |
|    learning_rate        | 0.0003       |
|    loss                 | 170          |
|    n_updates            | 180          |
|    policy_gradient_loss | 0.00072      |
|    std                  | 0.753        |
|    value_loss           | 770          |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.58e+03   |
|    ep_rew_mean          | -307       |
| time/                   |            |
|    fps                  | 2067       |
|    iterations           | 20         |
|    time_elapsed         | 198        |
|    total_timesteps      | 409600     |
| train/                  |            |
|    approx_kl            | 0.00487063 |
|    clip_fraction        | 0.0405     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.13      |
|    explained_variance   | 0.916      |
|    learning_rate        | 0.0003     |
|    loss                 | 892        |
|    n_updates            | 190        |
|    policy_gradient_loss | -0.00091   |
|    std                  | 0.748      |
|    value_loss           | 1.72e+03   |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.58e+03     |
|    ep_rew_mean          | -305         |
| time/                   |              |
|    fps                  | 2065         |
|    iterations           | 21           |
|    time_elapsed         | 208          |
|    total_timesteps      | 430080       |
| train/                  |              |
|    approx_kl            | 0.0062824027 |
|    clip_fraction        | 0.0641       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.1         |
|    explained_variance   | 0.947        |
|    learning_rate        | 0.0003       |
|    loss                 | 1.3e+03      |
|    n_updates            | 200          |
|    policy_gradient_loss | -0.000359    |
|    std                  | 0.723        |
|    value_loss           | 726          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.59e+03    |
|    ep_rew_mean          | -304        |
| time/                   |             |
|    fps                  | 2064        |
|    iterations           | 22          |
|    time_elapsed         | 218         |
|    total_timesteps      | 450560      |
| train/                  |             |
|    approx_kl            | 0.005478942 |
|    clip_fraction        | 0.0692      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.08       |
|    explained_variance   | 0.943       |
|    learning_rate        | 0.0003      |
|    loss                 | 336         |
|    n_updates            | 210         |
|    policy_gradient_loss | -8.96e-05   |
|    std                  | 0.71        |
|    value_loss           | 921         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.6e+03      |
|    ep_rew_mean          | -298         |
| time/                   |              |
|    fps                  | 2062         |
|    iterations           | 23           |
|    time_elapsed         | 228          |
|    total_timesteps      | 471040       |
| train/                  |              |
|    approx_kl            | 0.0053058914 |
|    clip_fraction        | 0.0593       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.06        |
|    explained_variance   | 0.948        |
|    learning_rate        | 0.0003       |
|    loss                 | 30.3         |
|    n_updates            | 220          |
|    policy_gradient_loss | 0.000142     |
|    std                  | 0.694        |
|    value_loss           | 741          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.61e+03     |
|    ep_rew_mean          | -293         |
| time/                   |              |
|    fps                  | 2061         |
|    iterations           | 24           |
|    time_elapsed         | 238          |
|    total_timesteps      | 491520       |
| train/                  |              |
|    approx_kl            | 0.0038743205 |
|    clip_fraction        | 0.0452       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.05        |
|    explained_variance   | 0.966        |
|    learning_rate        | 0.0003       |
|    loss                 | 743          |
|    n_updates            | 230          |
|    policy_gradient_loss | -0.000602    |
|    std                  | 0.687        |
|    value_loss           | 1e+03        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.64e+03    |
|    ep_rew_mean          | -280        |
| time/                   |             |
|    fps                  | 2061        |
|    iterations           | 25          |
|    time_elapsed         | 248         |
|    total_timesteps      | 512000      |
| train/                  |             |
|    approx_kl            | 0.004144254 |
|    clip_fraction        | 0.0413      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.04       |
|    explained_variance   | 0.963       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.18e+03    |
|    n_updates            | 240         |
|    policy_gradient_loss | -7.86e-05   |
|    std                  | 0.68        |
|    value_loss           | 780         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.66e+03     |
|    ep_rew_mean          | 738          |
| time/                   |              |
|    fps                  | 2060         |
|    iterations           | 26           |
|    time_elapsed         | 258          |
|    total_timesteps      | 532480       |
| train/                  |              |
|    approx_kl            | 0.0044166027 |
|    clip_fraction        | 0.0466       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.03        |
|    explained_variance   | 0.961        |
|    learning_rate        | 0.0003       |
|    loss                 | 91.8         |
|    n_updates            | 250          |
|    policy_gradient_loss | -0.00131     |
|    std                  | 0.671        |
|    value_loss           | 987          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.69e+03    |
|    ep_rew_mean          | 1.76e+03    |
| time/                   |             |
|    fps                  | 2059        |
|    iterations           | 27          |
|    time_elapsed         | 268         |
|    total_timesteps      | 552960      |
| train/                  |             |
|    approx_kl            | 0.004041349 |
|    clip_fraction        | 0.0453      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1          |
|    explained_variance   | -0.012      |
|    learning_rate        | 0.0003      |
|    loss                 | 103         |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.000738   |
|    std                  | 0.65        |
|    value_loss           | 4.2e+06     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.73e+03     |
|    ep_rew_mean          | 3.8e+03      |
| time/                   |              |
|    fps                  | 2058         |
|    iterations           | 28           |
|    time_elapsed         | 278          |
|    total_timesteps      | 573440       |
| train/                  |              |
|    approx_kl            | 0.0032376293 |
|    clip_fraction        | 0.0235       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.981       |
|    explained_variance   | 0.0181       |
|    learning_rate        | 0.0003       |
|    loss                 | 44.5         |
|    n_updates            | 270          |
|    policy_gradient_loss | -0.000713    |
|    std                  | 0.641        |
|    value_loss           | 4.2e+06      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.76e+03     |
|    ep_rew_mean          | 4.81e+03     |
| time/                   |              |
|    fps                  | 2057         |
|    iterations           | 29           |
|    time_elapsed         | 288          |
|    total_timesteps      | 593920       |
| train/                  |              |
|    approx_kl            | 0.0030303248 |
|    clip_fraction        | 0.0263       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.975       |
|    explained_variance   | 0.0157       |
|    learning_rate        | 0.0003       |
|    loss                 | 4.2e+03      |
|    n_updates            | 280          |
|    policy_gradient_loss | 0.000235     |
|    std                  | 0.64         |
|    value_loss           | 8.39e+06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.78e+03     |
|    ep_rew_mean          | 4.83e+03     |
| time/                   |              |
|    fps                  | 2055         |
|    iterations           | 30           |
|    time_elapsed         | 298          |
|    total_timesteps      | 614400       |
| train/                  |              |
|    approx_kl            | 0.0034932892 |
|    clip_fraction        | 0.0357       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.961       |
|    explained_variance   | 0.0154       |
|    learning_rate        | 0.0003       |
|    loss                 | 4.82e+04     |
|    n_updates            | 290          |
|    policy_gradient_loss | -0.000253    |
|    std                  | 0.628        |
|    value_loss           | 4.12e+06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.81e+03     |
|    ep_rew_mean          | 6.86e+03     |
| time/                   |              |
|    fps                  | 2055         |
|    iterations           | 31           |
|    time_elapsed         | 308          |
|    total_timesteps      | 634880       |
| train/                  |              |
|    approx_kl            | 0.0027772982 |
|    clip_fraction        | 0.0335       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.953       |
|    explained_variance   | 0.831        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.23e+03     |
|    n_updates            | 300          |
|    policy_gradient_loss | -0.00114     |
|    std                  | 0.626        |
|    value_loss           | 2.36e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.84e+03     |
|    ep_rew_mean          | 7.88e+03     |
| time/                   |              |
|    fps                  | 2053         |
|    iterations           | 32           |
|    time_elapsed         | 319          |
|    total_timesteps      | 655360       |
| train/                  |              |
|    approx_kl            | 0.0049554375 |
|    clip_fraction        | 0.0339       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.951       |
|    explained_variance   | 0.0134       |
|    learning_rate        | 0.0003       |
|    loss                 | 227          |
|    n_updates            | 310          |
|    policy_gradient_loss | -9.13e-05    |
|    std                  | 0.624        |
|    value_loss           | 8.36e+06     |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.87e+03   |
|    ep_rew_mean          | 8.91e+03   |
| time/                   |            |
|    fps                  | 2052       |
|    iterations           | 33         |
|    time_elapsed         | 329        |
|    total_timesteps      | 675840     |
| train/                  |            |
|    approx_kl            | 0.00308805 |
|    clip_fraction        | 0.0368     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.946     |
|    explained_variance   | 0.0179     |
|    learning_rate        | 0.0003     |
|    loss                 | 1.46e+05   |
|    n_updates            | 320        |
|    policy_gradient_loss | 0.000239   |
|    std                  | 0.624      |
|    value_loss           | 4.19e+06   |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.87e+03     |
|    ep_rew_mean          | 8.91e+03     |
| time/                   |              |
|    fps                  | 2051         |
|    iterations           | 34           |
|    time_elapsed         | 339          |
|    total_timesteps      | 696320       |
| train/                  |              |
|    approx_kl            | 0.0043750573 |
|    clip_fraction        | 0.0333       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.941       |
|    explained_variance   | 0.0217       |
|    learning_rate        | 0.0003       |
|    loss                 | 121          |
|    n_updates            | 330          |
|    policy_gradient_loss | -3.07e-05    |
|    std                  | 0.617        |
|    value_loss           | 4.18e+06     |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.87e+03   |
|    ep_rew_mean          | 8.91e+03   |
| time/                   |            |
|    fps                  | 2050       |
|    iterations           | 35         |
|    time_elapsed         | 349        |
|    total_timesteps      | 716800     |
| train/                  |            |
|    approx_kl            | 0.00460485 |
|    clip_fraction        | 0.0462     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.926     |
|    explained_variance   | 0.522      |
|    learning_rate        | 0.0003     |
|    loss                 | 4.86e+03   |
|    n_updates            | 340        |
|    policy_gradient_loss | -0.00133   |
|    std                  | 0.609      |
|    value_loss           | 4.55e+03   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.83e+03   |
|    ep_rew_mean          | 7.88e+03   |
| time/                   |            |
|    fps                  | 2050       |
|    iterations           | 36         |
|    time_elapsed         | 359        |
|    total_timesteps      | 737280     |
| train/                  |            |
|    approx_kl            | 0.00425689 |
|    clip_fraction        | 0.0398     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.919     |
|    explained_variance   | 0.0114     |
|    learning_rate        | 0.0003     |
|    loss                 | 72.5       |
|    n_updates            | 350        |
|    policy_gradient_loss | -0.000229  |
|    std                  | 0.606      |
|    value_loss           | 4.18e+06   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.81e+03    |
|    ep_rew_mean          | 6.86e+03    |
| time/                   |             |
|    fps                  | 2050        |
|    iterations           | 37          |
|    time_elapsed         | 369         |
|    total_timesteps      | 757760      |
| train/                  |             |
|    approx_kl            | 0.005263775 |
|    clip_fraction        | 0.0672      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.903      |
|    explained_variance   | 0.547       |
|    learning_rate        | 0.0003      |
|    loss                 | 153         |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.00154    |
|    std                  | 0.592       |
|    value_loss           | 3.89e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.84e+03     |
|    ep_rew_mean          | 1.19e+04     |
| time/                   |              |
|    fps                  | 2049         |
|    iterations           | 38           |
|    time_elapsed         | 379          |
|    total_timesteps      | 778240       |
| train/                  |              |
|    approx_kl            | 0.0044603245 |
|    clip_fraction        | 0.0391       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.89        |
|    explained_variance   | 0.0153       |
|    learning_rate        | 0.0003       |
|    loss                 | 1.07e+06     |
|    n_updates            | 370          |
|    policy_gradient_loss | -0.000407    |
|    std                  | 0.589        |
|    value_loss           | 4.18e+06     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.87e+03     |
|    ep_rew_mean          | 1.5e+04      |
| time/                   |              |
|    fps                  | 2048         |
|    iterations           | 39           |
|    time_elapsed         | 389          |
|    total_timesteps      | 798720       |
| train/                  |              |
|    approx_kl            | 0.0016014792 |
|    clip_fraction        | 0.0123       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.887       |
|    explained_variance   | 0.0189       |
|    learning_rate        | 0.0003       |
|    loss                 | 2.88e+07     |
|    n_updates            | 380          |
|    policy_gradient_loss | 0.000158     |
|    std                  | 0.586        |
|    value_loss           | 2.06e+07     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.9e+03      |
|    ep_rew_mean          | 1.7e+04      |
| time/                   |              |
|    fps                  | 2048         |
|    iterations           | 40           |
|    time_elapsed         | 399          |
|    total_timesteps      | 819200       |
| train/                  |              |
|    approx_kl            | 0.0016143396 |
|    clip_fraction        | 0.0183       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.883       |
|    explained_variance   | 0.0254       |
|    learning_rate        | 0.0003       |
|    loss                 | 1.92e+04     |
|    n_updates            | 390          |
|    policy_gradient_loss | -0.000426    |
|    std                  | 0.584        |
|    value_loss           | 1.67e+07     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.91e+03    |
|    ep_rew_mean          | 1.9e+04     |
| time/                   |             |
|    fps                  | 2047        |
|    iterations           | 41          |
|    time_elapsed         | 410         |
|    total_timesteps      | 839680      |
| train/                  |             |
|    approx_kl            | 0.002439535 |
|    clip_fraction        | 0.0149      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.88       |
|    explained_variance   | 0.0259      |
|    learning_rate        | 0.0003      |
|    loss                 | 8.41e+06    |
|    n_updates            | 400         |
|    policy_gradient_loss | -4.75e-05   |
|    std                  | 0.583       |
|    value_loss           | 1.66e+07    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.92e+03     |
|    ep_rew_mean          | 2.21e+04     |
| time/                   |              |
|    fps                  | 2047         |
|    iterations           | 42           |
|    time_elapsed         | 420          |
|    total_timesteps      | 860160       |
| train/                  |              |
|    approx_kl            | 0.0042039156 |
|    clip_fraction        | 0.0194       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.876       |
|    explained_variance   | 0.0238       |
|    learning_rate        | 0.0003       |
|    loss                 | 784          |
|    n_updates            | 410          |
|    policy_gradient_loss | 6.04e-06     |
|    std                  | 0.582        |
|    value_loss           | 6.33e+06     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.93e+03    |
|    ep_rew_mean          | 2.71e+04    |
| time/                   |             |
|    fps                  | 2047        |
|    iterations           | 43          |
|    time_elapsed         | 430         |
|    total_timesteps      | 880640      |
| train/                  |             |
|    approx_kl            | 0.001377767 |
|    clip_fraction        | 0.0106      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.876      |
|    explained_variance   | 0.0268      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.71e+04    |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.000163   |
|    std                  | 0.581       |
|    value_loss           | 1.66e+07    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.96e+03    |
|    ep_rew_mean          | 2.71e+04    |
| time/                   |             |
|    fps                  | 2047        |
|    iterations           | 44          |
|    time_elapsed         | 440         |
|    total_timesteps      | 901120      |
| train/                  |             |
|    approx_kl            | 0.001053948 |
|    clip_fraction        | 0.0216      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.871      |
|    explained_variance   | 0.028       |
|    learning_rate        | 0.0003      |
|    loss                 | 8.38e+07    |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.000245   |
|    std                  | 0.575       |
|    value_loss           | 2.49e+07    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.98e+03     |
|    ep_rew_mean          | 2.81e+04     |
| time/                   |              |
|    fps                  | 2046         |
|    iterations           | 45           |
|    time_elapsed         | 450          |
|    total_timesteps      | 921600       |
| train/                  |              |
|    approx_kl            | 0.0036379113 |
|    clip_fraction        | 0.0242       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.859       |
